,jobTitle,skills,Activity,Activite1,Activite2,Activite3,Activite4,Activite5,Activite6,Activite7,Activite8,Activite9,Activite10,jobTitle.1,skills.1,Activity.1,Activite1.1,Activite2.1,Activite3.1,Activite4.1,Activite5.1,Activite6.1,Activite7.1,Activite8.1,Activite9.1,Activite10.1,word_tokenized1,word_tokenized2,word_tokenized3,word_tokenized4,word_tokenized5,word_tokenized6,word_tokenized7,word_tokenized8,word_tokenized9,word_tokenized10,word_tokenized11,word_tokenized12,word_tokenized13,word_tokenized14,word_tokenized15,word_tokenized16,word_tokenized17,word_tokenized18,word_tokenized19,word_tokenized20,word_tokenized21,clean_stemmed1,clean_stemmed2,clean_stemmed3,clean_stemmed4,clean_stemmed5,clean_stemmed6,clean_stemmed7,clean_stemmed8,clean_stemmed9,clean_stemmed10,clean_stemmed11,clean_stemmed12,clean_stemmed13,clean_stemmed14,clean_stemmed15,clean_stemmed16,clean_stemmed17,clean_stemmed18,clean_stemmed19,clean_stemmed20,clean_stemmed21,clean_lemmed1,clean_lemmed2,clean_lemmed3,clean_lemmed4,clean_lemmed5,clean_lemmed6,clean_lemmed7,clean_lemmed8,clean_lemmed9,clean_lemmed10,clean_lemmed11,clean_lemmed12,clean_lemmed13,clean_lemmed14,clean_lemmed15,clean_lemmed16,clean_lemmed17,clean_lemmed18,clean_lemmed19,clean_lemmed20,clean_lemmed21
0,Business Intelligence Developer,"['SQL Server Integration Services (SSIS)', 'SQL Server Management Studio', 'SQL', 'Spring Boot', 'Angular', 'Data analysis']",['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Business Intelligence Trainee,"['Extract, Transform, Load (ETL)', 'Leadership', 'Engineering', 'Project management', 'RStudio', '.NET Core']","['Skills: Extract, Transform, Load (ETL) · Microsoft Power BI']","Skills: Extract, Transform, Load (ETL) · Microsoft Power BI",unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,[],[],[],[],[],[],[],[],[],[],"['Skills', 'Extract', 'Transform', 'Load', 'ETL', 'Microsoft', 'Power', 'BI']","['Skills', 'Extract', 'Transform', 'Load', 'ETL', 'Microsoft', 'Power', 'BI']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"['skill', 'extract', 'transform', 'load', 'etl', 'microsoft', 'power', 'bi']","['skill', 'extract', 'transform', 'load', 'etl', 'microsoft', 'power', 'bi']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"['Skills', 'Extract', 'Transform', 'Load', 'ETL', 'Microsoft', 'Power', 'BI']","['Skills', 'Extract', 'Transform', 'Load', 'ETL', 'Microsoft', 'Power', 'BI']",[],[],[],[],[],[],[],[],[]
1,Internal Business Intelligence ,"['Redmine', 'Microsoft Power BI', 'Talend Open Studio', 'R', 'Big data', 'Deep learning']","['Design and implementation of dashboards to analyse the RUN MEDIANET SERVICE activity:', '> Dashboard with plots, charts, filters about the project, tickets and their managers.', '> Follow-up of the status of a task(Ticket) and its deadlines.', '> Team performance monitoring and the advancement of the sprint.', '> Advancement of the sprint.', '> Generation of business production plans.', '> Identification of project monitoring indicators (PPIs).']",Design and implementation of dashboards to analyse the RUN MEDIANET SERVICE activity:,"> Dashboard with plots, charts, filters about the project, tickets and their managers.",> Follow-up of the status of a task(Ticket) and its deadlines.,> Team performance monitoring and the advancement of the sprint.,> Advancement of the sprint.,> Generation of business production plans.,> Identification of project monitoring indicators (PPIs).,unknown,unknown,unknown,Business Intelligence Internal,"['Telecommunications', 'Microsoft Word', 'Strategic planning', 'Business intelligence', 'Big data', 'Data analysis']",['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"['Design', 'implementation', 'dashboards', 'analyse', 'RUN', 'MEDIANET', 'SERVICE', 'activity']","['Dashboard', 'plots', 'charts', 'filters', 'project', 'tickets', 'managers']","['Follow', 'status', 'task', 'Ticket', 'deadlines']","['Team', 'performance', 'monitoring', 'advancement', 'sprint']","['Advancement', 'sprint']","['Generation', 'business', 'production', 'plans']","['Identification', 'project', 'monitoring', 'indicators', 'PPIs']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],"['design', 'implement', 'dashboard', 'analys', 'run', 'medianet', 'servic', 'activ']","['dashboard', 'plot', 'chart', 'filter', 'project', 'ticket', 'manag']","['follow', 'statu', 'task', 'ticket', 'deadlin']","['team', 'perform', 'monitor', 'advanc', 'sprint']","['advanc', 'sprint']","['gener', 'busi', 'product', 'plan']","['identif', 'project', 'monitor', 'indic', 'ppi']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],"['Design', 'implementation', 'dashboard', 'analyse', 'RUN', 'MEDIANET', 'SERVICE', 'activity']","['Dashboard', 'plot', 'chart', 'filter', 'project', 'ticket', 'manager']","['Follow', 'status', 'task', 'Ticket', 'deadline']","['Team', 'performance', 'monitoring', 'advancement', 'sprint']","['Advancement', 'sprint']","['Generation', 'business', 'production', 'plan']","['Identification', 'project', 'monitoring', 'indicator', 'PPIs']",[],[],[],[],[],[],[],[],[],[],[],[],[],[]
2,Business Intelligence Developer,"['Microsoft Power BI', 'Python (programming language)', 'R (programming language)', 'Spring Boot', '.NET framework', 'Project management']","['Development of a BI solution to help detect fraud in health insurance using power bi for reporting and data analysis.', 'this solution based on 3 steps:', '1/Data prepertion: data clearing with Python and R', '2/Elaborate the modelling phase', '3/Creating a predictive model']",Development of a BI solution to help detect fraud in health insurance using power bi for reporting and data analysis.,this solution based on 3 steps:,1/Data prepertion: data clearing with Python and R,2/Elaborate the modelling phase,3/Creating a predictive model,unknown,unknown,unknown,unknown,unknown,Business Intelligence Engineer,"['Data Analytics', 'Gaming', 'python', 'Microsoft Power BI', 'Microsoft Excel', 'Google Analytics']",['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"['Development', 'BI', 'solution', 'help', 'detect', 'fraud', 'health', 'insurance', 'using', 'power', 'bi', 'reporting', 'data', 'analysis']","['solution', 'based', '3', 'steps']","['1', 'Data', 'prepertion', 'data', 'clearing', 'Python', 'R']","['2', 'Elaborate', 'modelling', 'phase']","['3', 'Creating', 'predictive', 'model']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"['develop', 'bi', 'solut', 'help', 'detect', 'fraud', 'health', 'insur', 'use', 'power', 'bi', 'report', 'data', 'analysi']","['solut', 'base', '3', 'step']","['1', 'data', 'prepert', 'data', 'clear', 'python', 'r']","['2', 'elabor', 'model', 'phase']","['3', 'creat', 'predict', 'model']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"['Development', 'BI', 'solution', 'help', 'detect', 'fraud', 'health', 'insurance', 'using', 'power', 'bi', 'reporting', 'data', 'analysis']","['solution', 'based', '3', 'step']","['1', 'Data', 'prepertion', 'data', 'clearing', 'Python', 'R']","['2', 'Elaborate', 'modelling', 'phase']","['3', 'Creating', 'predictive', 'model']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
3,Business Intelligence Internal,"['DevOps', 'Angular', 'Spring Boot', 'Microsoft Power BI', 'Business Intelligence (BI)', 'Big Data']",['Skills: Business Intelligence (BI) · Web Development · SQL Server Integration Services (SSIS)'],Skills: Business Intelligence (BI) · Web Development · SQL Server Integration Services (SSIS),unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Business Intelligence Developer,"['Data Warehousing', 'Blockchain', 'Node.js', 'Microsoft Power BI', 'Jupyter', 'Talend Open Studio']","['Data modelling and data warehousing.', '""Implement ETL processes and pipelines.', 'Data Reporting and visualization.', '的 Implementation supervised/unsupervised algorithms']",Data modelling and data warehousing.,"""Implement ETL processes and pipelines.",Data Reporting and visualization.,的 Implementation supervised/unsupervised algorithms,unknown,unknown,unknown,unknown,unknown,unknown,"['Skills', 'Business', 'Intelligence', 'BI', 'Web', 'Development', 'SQL', 'Server', 'Integration', 'Services', 'SSIS']",[],[],[],[],[],[],[],[],[],"['Data', 'modelling', 'data', 'warehousing', 'Implement', 'ETL', 'processes', 'pipelines', 'Data', 'Reporting', 'visualization', '的', 'Implementation', 'supervised', 'unsupervised', 'algorithms']","['Data', 'modelling', 'data', 'warehousing']","['Implement', 'ETL', 'processes', 'pipelines']","['Data', 'Reporting', 'visualization']","['的', 'Implementation', 'supervised', 'unsupervised', 'algorithms']",[],[],[],[],[],[],"['skill', 'busi', 'intellig', 'bi', 'web', 'develop', 'sql', 'server', 'integr', 'servic', 'ssi']",[],[],[],[],[],[],[],[],[],"['data', 'model', 'data', 'wareh', 'implement', 'etl', 'process', 'pipelin', 'data', 'report', 'visual', '的', 'implement', 'supervis', 'unsupervis', 'algorithm']","['data', 'model', 'data', 'wareh']","['implement', 'etl', 'process', 'pipelin']","['data', 'report', 'visual']","['的', 'implement', 'supervis', 'unsupervis', 'algorithm']",[],[],[],[],[],[],"['Skills', 'Business', 'Intelligence', 'BI', 'Web', 'Development', 'SQL', 'Server', 'Integration', 'Services', 'SSIS']",[],[],[],[],[],[],[],[],[],"['Data', 'modelling', 'data', 'warehousing', 'Implement', 'ETL', 'process', 'pipeline', 'Data', 'Reporting', 'visualization', '的', 'Implementation', 'supervised', 'unsupervised', 'algorithm']","['Data', 'modelling', 'data', 'warehousing']","['Implement', 'ETL', 'process', 'pipeline']","['Data', 'Reporting', 'visualization']","['的', 'Implementation', 'supervised', 'unsupervised', 'algorithm']",[],[],[],[],[],[]
4,Business Intelligence Developer,"['SQL Server Integration Services (SSIS)', 'SQL Server Management Studio', 'SQL', 'Spring Boot', 'Angular', 'Data analysis']",['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Business Intelligence Trainee,"['Extract, Transform, Load (ETL)', 'Leadership', 'Engineering', 'Project management', 'RStudio', '.NET Core']","['Skills: Extract, Transform, Load (ETL) · Microsoft Power BI']","Skills: Extract, Transform, Load (ETL) · Microsoft Power BI",unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,[],[],[],[],[],[],[],[],[],[],"['Skills', 'Extract', 'Transform', 'Load', 'ETL', 'Microsoft', 'Power', 'BI']","['Skills', 'Extract', 'Transform', 'Load', 'ETL', 'Microsoft', 'Power', 'BI']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"['skill', 'extract', 'transform', 'load', 'etl', 'microsoft', 'power', 'bi']","['skill', 'extract', 'transform', 'load', 'etl', 'microsoft', 'power', 'bi']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"['Skills', 'Extract', 'Transform', 'Load', 'ETL', 'Microsoft', 'Power', 'BI']","['Skills', 'Extract', 'Transform', 'Load', 'ETL', 'Microsoft', 'Power', 'BI']",[],[],[],[],[],[],[],[],[]
5,Internal Business Intelligence ,"['Redmine', 'Microsoft Power BI', 'Talend Open Studio', 'R', 'Big data', 'Deep learning']","['Design and implementation of dashboards to analyse the RUN MEDIANET SERVICE activity:', '> Dashboard with plots, charts, filters about the project, tickets and their managers.', '> Follow-up of the status of a task(Ticket) and its deadlines.', '> Team performance monitoring and the advancement of the sprint.', '> Advancement of the sprint.', '> Generation of business production plans.', '> Identification of project monitoring indicators (PPIs).']",Design and implementation of dashboards to analyse the RUN MEDIANET SERVICE activity:,"> Dashboard with plots, charts, filters about the project, tickets and their managers.",> Follow-up of the status of a task(Ticket) and its deadlines.,> Team performance monitoring and the advancement of the sprint.,> Advancement of the sprint.,> Generation of business production plans.,> Identification of project monitoring indicators (PPIs).,unknown,unknown,unknown,Business Intelligence Internal,"['Telecommunications', 'Microsoft Word', 'Strategic planning', 'Business intelligence', 'Big data', 'Data analysis']",['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"['Design', 'implementation', 'dashboards', 'analyse', 'RUN', 'MEDIANET', 'SERVICE', 'activity']","['Dashboard', 'plots', 'charts', 'filters', 'project', 'tickets', 'managers']","['Follow', 'status', 'task', 'Ticket', 'deadlines']","['Team', 'performance', 'monitoring', 'advancement', 'sprint']","['Advancement', 'sprint']","['Generation', 'business', 'production', 'plans']","['Identification', 'project', 'monitoring', 'indicators', 'PPIs']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],"['design', 'implement', 'dashboard', 'analys', 'run', 'medianet', 'servic', 'activ']","['dashboard', 'plot', 'chart', 'filter', 'project', 'ticket', 'manag']","['follow', 'statu', 'task', 'ticket', 'deadlin']","['team', 'perform', 'monitor', 'advanc', 'sprint']","['advanc', 'sprint']","['gener', 'busi', 'product', 'plan']","['identif', 'project', 'monitor', 'indic', 'ppi']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],"['Design', 'implementation', 'dashboard', 'analyse', 'RUN', 'MEDIANET', 'SERVICE', 'activity']","['Dashboard', 'plot', 'chart', 'filter', 'project', 'ticket', 'manager']","['Follow', 'status', 'task', 'Ticket', 'deadline']","['Team', 'performance', 'monitoring', 'advancement', 'sprint']","['Advancement', 'sprint']","['Generation', 'business', 'production', 'plan']","['Identification', 'project', 'monitoring', 'indicator', 'PPIs']",[],[],[],[],[],[],[],[],[],[],[],[],[],[]
6,Business Intelligence Developer,"['Microsoft Power BI', 'Python (programming language)', 'R (programming language)', 'Spring Boot', '.NET framework', 'Project management']","['Development of a BI solution to help detect fraud in health insurance using power bi for reporting and data analysis.', 'this solution based on 3 steps:', '1/Data prepertion: data clearing with Python and R', '2/Elaborate the modelling phase', '3/Creating a predictive model']",Development of a BI solution to help detect fraud in health insurance using power bi for reporting and data analysis.,this solution based on 3 steps:,1/Data prepertion: data clearing with Python and R,2/Elaborate the modelling phase,3/Creating a predictive model,unknown,unknown,unknown,unknown,unknown,Business Intelligence Engineer,"['Data Analytics', 'Gaming', 'python', 'Microsoft Power BI', 'Microsoft Excel', 'Google Analytics']",['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"['Development', 'BI', 'solution', 'help', 'detect', 'fraud', 'health', 'insurance', 'using', 'power', 'bi', 'reporting', 'data', 'analysis']","['solution', 'based', '3', 'steps']","['1', 'Data', 'prepertion', 'data', 'clearing', 'Python', 'R']","['2', 'Elaborate', 'modelling', 'phase']","['3', 'Creating', 'predictive', 'model']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"['develop', 'bi', 'solut', 'help', 'detect', 'fraud', 'health', 'insur', 'use', 'power', 'bi', 'report', 'data', 'analysi']","['solut', 'base', '3', 'step']","['1', 'data', 'prepert', 'data', 'clear', 'python', 'r']","['2', 'elabor', 'model', 'phase']","['3', 'creat', 'predict', 'model']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"['Development', 'BI', 'solution', 'help', 'detect', 'fraud', 'health', 'insurance', 'using', 'power', 'bi', 'reporting', 'data', 'analysis']","['solution', 'based', '3', 'step']","['1', 'Data', 'prepertion', 'data', 'clearing', 'Python', 'R']","['2', 'Elaborate', 'modelling', 'phase']","['3', 'Creating', 'predictive', 'model']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
7,Business Intelligence Internal,"['DevOps', 'Angular', 'Spring Boot', 'Microsoft Power BI', 'Business Intelligence (BI)', 'Big Data']",['Skills: Business Intelligence (BI) · Web Development · SQL Server Integration Services (SSIS)'],Skills: Business Intelligence (BI) · Web Development · SQL Server Integration Services (SSIS),unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Business Intelligence Developer,"['Extract, Transform, Load (ETL)', 'SQL', 'Microsoft Power Query', 'powerbi', 'Oracle SQL Developer', 'Microsoft SQL Server']",['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"['Skills', 'Business', 'Intelligence', 'BI', 'Web', 'Development', 'SQL', 'Server', 'Integration', 'Services', 'SSIS']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"['skill', 'busi', 'intellig', 'bi', 'web', 'develop', 'sql', 'server', 'integr', 'servic', 'ssi']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"['Skills', 'Business', 'Intelligence', 'BI', 'Web', 'Development', 'SQL', 'Server', 'Integration', 'Services', 'SSIS']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
8,Consultant Business Intelligence ,"['Big Data', 'Data analysis', 'python', 'Agile methods', 'Shell Script', 'Scrum']","['Consultant Business intelligence ', 'Qlik Sense, Qlik View, MSBI, Talend']",Consultant Business intelligence ,"Qlik Sense, Qlik View, MSBI, Talend",unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Consultant business intelligence,"['Microsoft Power BI', 'SQL Server Integration Services (SSIS)', 'SQL Server Analysis Services (SSAS)', 'SQL Server Reporting Services (SSRS)', 'Microsoft SQL Server', 'Talend']","['• Analyze and identify functional and technical needs.\r', '• Model and enrich the datawarehouse.\r', '• Scheduling and deployment of jobs.\r', '• Guidance: Training and mentoring of trainees for end-of-studies projects']","• Analyze and identify functional and technical needs.","• Model and enrich the datawarehouse.","• Scheduling and deployment of jobs.",• Guidance: Training and mentoring of trainees for end-of-studies projects,unknown,unknown,unknown,unknown,unknown,unknown,"['Consultant', 'Business', 'intelligence']","['Qlik', 'Sense', 'Qlik', 'View', 'MSBI', 'Talend']",[],[],[],[],[],[],[],[],"['Analyze', 'identify', 'functional', 'technical', 'needs', 'r', 'Model', 'enrich', 'datawarehouse', 'r', 'Scheduling', 'deployment', 'jobs', 'r', 'Guidance', 'Training', 'mentoring', 'trainees', 'end', 'studies', 'projects']","['Analyze', 'identify', 'functional', 'technical', 'needs']","['Model', 'enrich', 'datawarehouse']","['Scheduling', 'deployment', 'jobs']","['Guidance', 'Training', 'mentoring', 'trainees', 'end', 'studies', 'projects']",[],[],[],[],[],[],"['consult', 'busi', 'intellig']","['qlik', 'sens', 'qlik', 'view', 'msbi', 'talend']",[],[],[],[],[],[],[],[],"['analyz', 'identifi', 'function', 'technic', 'need', 'r', 'model', 'enrich', 'datawarehous', 'r', 'schedul', 'deploy', 'job', 'r', 'guidanc', 'train', 'mentor', 'traine', 'end', 'studi', 'project']","['analyz', 'identifi', 'function', 'technic', 'need']","['model', 'enrich', 'datawarehous']","['schedul', 'deploy', 'job']","['guidanc', 'train', 'mentor', 'traine', 'end', 'studi', 'project']",[],[],[],[],[],[],"['Consultant', 'Business', 'intelligence']","['Qlik', 'Sense', 'Qlik', 'View', 'MSBI', 'Talend']",[],[],[],[],[],[],[],[],"['Analyze', 'identify', 'functional', 'technical', 'need', 'r', 'Model', 'enrich', 'datawarehouse', 'r', 'Scheduling', 'deployment', 'job', 'r', 'Guidance', 'Training', 'mentoring', 'trainee', 'end', 'study', 'project']","['Analyze', 'identify', 'functional', 'technical', 'need']","['Model', 'enrich', 'datawarehouse']","['Scheduling', 'deployment', 'job']","['Guidance', 'Training', 'mentoring', 'trainee', 'end', 'study', 'project']",[],[],[],[],[],[]
9,Business Intelligence Internal,"['Machine Learning', 'Artificial Intelligence (AI)', 'Java', 'Python (Programming Language)', 'Database Management System (DBMS)', 'C (Programming Language)']",['Skills: Microsoft Excel'],Skills: Microsoft Excel,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Business Intelligence Engineer,"['Java', 'Web applications', 'Business', 'Postman API', 'Spring Boot', 'C#']",['unknown'],unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,"['Skills', 'Microsoft', 'Excel']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"['skill', 'microsoft', 'excel']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],"['Skills', 'Microsoft', 'Excel']",[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
