,jobTitle,skill1,skill2,skill3,skill4,skill5,skill6,jobDescription,Activity,Activite1,Activite2,Activite3,Activite4,Activite5,Activite6,Activite7,Activite8,Activite9,Activite10,skills
0,Business Intelligence Developer,SQL Server Integration Services (SSIS),SQL Server Management Studio,SQL,Spring Boot,Angular,Data analysis,unknown,['unknown'],unknown,,,,,,,,,,"['SQL Server Integration Services (SSIS)', 'SQL Server Management Studio', 'SQL', 'Spring Boot', 'Angular', 'Data analysis']"
1,Internal Business Intelligence ,Redmine,Microsoft Power BI,Talend Open Studio,R,Big data,Deep learning,"Design and implementation of dashboards to analyse the RUN MEDIANET SERVICE activity:
> Dashboard with plots, charts, filters about the project, tickets and their managers.
> Follow-up of the status of a task(Ticket) and its deadlines.
> Team performance monitoring and the advancement of the sprint.
> Advancement of the sprint.
> Generation of business production plans.
> Identification of project monitoring indicators (PPIs).","['Design and implementation of dashboards to analyse the RUN MEDIANET SERVICE activity:', '> Dashboard with plots, charts, filters about the project, tickets and their managers.', '> Follow-up of the status of a task(Ticket) and its deadlines.', '> Team performance monitoring and the advancement of the sprint.', '> Advancement of the sprint.', '> Generation of business production plans.', '> Identification of project monitoring indicators (PPIs).']",Design and implementation of dashboards to analyse the RUN MEDIANET SERVICE activity:,"> Dashboard with plots, charts, filters about the project, tickets and their managers.",> Follow-up of the status of a task(Ticket) and its deadlines.,> Team performance monitoring and the advancement of the sprint.,> Advancement of the sprint.,> Generation of business production plans.,> Identification of project monitoring indicators (PPIs).,,,,"['Redmine', 'Microsoft Power BI', 'Talend Open Studio', 'R', 'Big data', 'Deep learning']"
2,Business Intelligence Trainee,"Extract, Transform, Load (ETL)",Leadership,Engineering,Project management,RStudio,.NET Core,"Skills: Extract, Transform, Load (ETL) · Microsoft Power BI","['Skills: Extract, Transform, Load (ETL) · Microsoft Power BI']","Skills: Extract, Transform, Load (ETL) · Microsoft Power BI",,,,,,,,,,"['Extract, Transform, Load (ETL)', 'Leadership', 'Engineering', 'Project management', 'RStudio', '.NET Core']"
3,Internship in engineering,Machine learning algorithms,PostgreSQL,Python (programming language),Project management,Java,.NET framework,unknown,['unknown'],unknown,,,,,,,,,,"['Machine learning algorithms', 'PostgreSQL', 'Python (programming language)', 'Project management', 'Java', '.NET framework']"
4,Development of a partner portal,E-commerce,Digital marketing,Decision-making informatics,Teamwork,Project management,Customer Relationship Management (CRM),"CRM
Dynamic 365
Power BI","['CRM', 'Dynamic 365', 'Power BI']",CRM,Dynamic 365,Power BI,,,,,,,,"['E-commerce', 'Digital marketing', 'Decision-making informatics', 'Teamwork', 'Project management', 'Customer Relationship Management (CRM)']"
5,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,['unknown'],unknown,,,,,,,,,,"['unknown', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown']"
6,unknown,Microsoft Dynamics CRM,Python (programming language),Talend,Microsoft Power BI,Microsoft SQL Server,unknown,unknown,['unknown'],unknown,,,,,,,,,,"['Microsoft Dynamics CRM', 'Python (programming language)', 'Talend', 'Microsoft Power BI', 'Microsoft SQL Server', 'unknown']"
7,Data Analyst,Power BI,Talend,Python,"Extract, transform, load (ETL)",Data analysis,SQL Server Integration Services (SSIS),unknown,['unknown'],unknown,,,,,,,,,,"['Power BI', 'Talend', 'Python', 'Extract, transform, load (ETL)', 'Data analysis', 'SQL Server Integration Services (SSIS)']"
8,Business Intelligence Developer,Microsoft Power BI,Python (programming language),R (programming language),Spring Boot,.NET framework,Project management,"Development of a BI solution to help detect fraud in health insurance using power bi for reporting and data analysis.
this solution based on 3 steps:
1/Data prepertion: data clearing with Python and R
2/Elaborate the modelling phase
3/Creating a predictive model","['Development of a BI solution to help detect fraud in health insurance using power bi for reporting and data analysis.', 'this solution based on 3 steps:', '1/Data prepertion: data clearing with Python and R', '2/Elaborate the modelling phase', '3/Creating a predictive model']",Development of a BI solution to help detect fraud in health insurance using power bi for reporting and data analysis.,this solution based on 3 steps:,1/Data prepertion: data clearing with Python and R,2/Elaborate the modelling phase,3/Creating a predictive model,,,,,,"['Microsoft Power BI', 'Python (programming language)', 'R (programming language)', 'Spring Boot', '.NET framework', 'Project management']"
9,Teacher trainer ,unknown,unknown,unknown,unknown,unknown,unknown,unknown,['unknown'],unknown,,,,,,,,,,"['unknown', 'unknown', 'unknown', 'unknown', 'unknown', 'unknown']"
10,unknown,R (Programming Language),HTML,Business Intelligence (BI),.NET Framework,Spring Boot,SQL Server Integration Services (SSIS),unknown,['unknown'],unknown,,,,,,,,,,"['R (Programming Language)', 'HTML', 'Business Intelligence (BI)', '.NET Framework', 'Spring Boot', 'SQL Server Integration Services (SSIS)']"
11,BI Consultant,Java,C,JavaScript,Talend Open Studio,Power BI,Data analysis,unknown,['unknown'],unknown,,,,,,,,,,"['Java', 'C', 'JavaScript', 'Talend Open Studio', 'Power BI', 'Data analysis']"
12,Business Intelligence Internal,Telecommunications,Microsoft Word,Strategic planning,Business intelligence,Big data,Data analysis,unknown,['unknown'],unknown,,,,,,,,,,"['Telecommunications', 'Microsoft Word', 'Strategic planning', 'Business intelligence', 'Big data', 'Data analysis']"
13,web3 developer,PHP,HTML5,JavaScript,HTML,Node.js,Laravel,I'm currently a we3 developer at Lightency.,"[""I'm currently a we3 developer at Lightency.""]",I'm currently a we3 developer at Lightency.,,,,,,,,,,"['PHP', 'HTML5', 'JavaScript', 'HTML', 'Node.js', 'Laravel']"
14,Trainee ,PostgreSQL,Talend,Microsoft Power BI,unknown,unknown,unknown,PFE course,['PFE course'],PFE course,,,,,,,,,,"['PostgreSQL', 'Talend', 'Microsoft Power BI', 'unknown', 'unknown', 'unknown']"
15,Business Intelligence Engineer,Data Analytics,Gaming,python,Microsoft Power BI,Microsoft Excel,Google Analytics,unknown,['unknown'],unknown,,,,,,,,,,"['Data Analytics', 'Gaming', 'python', 'Microsoft Power BI', 'Microsoft Excel', 'Google Analytics']"
16,Decision-making intelligence developer,Analytical,Microsoft Power BI,SQL,Decision-making informatics,SQL Server Integration Services (SSIS),Microsoft BI Suite,Developer in decision-making computing ,['Developer in decision-making computing '],Developer in decision-making computing ,,,,,,,,,,"['Analytical', 'Microsoft Power BI', 'SQL', 'Decision-making informatics', 'SQL Server Integration Services (SSIS)', 'Microsoft BI Suite']"
17,unknown,Machine Learning,Microsoft Power BI,Data Analysis,Java,TensorFlow,PL/SQL,unknown,['unknown'],unknown,,,,,,,,,,"['Machine Learning', 'Microsoft Power BI', 'Data Analysis', 'Java', 'TensorFlow', 'PL/SQL']"
18,Business Intelligence Internal,DevOps,Angular,Spring Boot,Microsoft Power BI,Business Intelligence (BI),Big Data,Skills: Business Intelligence (BI) · Web Development · SQL Server Integration Services (SSIS),['Skills: Business Intelligence (BI) · Web Development · SQL Server Integration Services (SSIS)'],Skills: Business Intelligence (BI) · Web Development · SQL Server Integration Services (SSIS),,,,,,,,,,"['DevOps', 'Angular', 'Spring Boot', 'Microsoft Power BI', 'Business Intelligence (BI)', 'Big Data']"
19,Cloud Engineer,Cloud Computing,Software Development,Astrophysics,Qt,Symfony Framework,Amazon Web Services (AWS),unknown,['unknown'],unknown,,,,,,,,,,"['Cloud Computing', 'Software Development', 'Astrophysics', 'Qt', 'Symfony Framework', 'Amazon Web Services (AWS)']"
20,Cloud engineer and devops,Java,Cloud Computing,Git,Linux System Administration,MySQL,Ansible,unknown,['unknown'],unknown,,,,,,,,,,"['Java', 'Cloud Computing', 'Git', 'Linux System Administration', 'MySQL', 'Ansible']"
