,jobTitle,skill1,skill2,skill3,skill4,skill5,skill6,jobDescription,headline,jobTitle2,jobDescription2,currentJob,pastJob,job
0,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown
1,Business Intelligence Developer,SQL Server Integration Services (SSIS),SQL Server Management Studio,SQL,Spring Boot,Angular,Data analysis,unckown,ERP - Business Intelligence Engineering Student at ESPRIT,Engineering student,unckown,unckown,unckown,unckown
2,Internal Business Intelligence ,Redmine,Microsoft Power BI,Talend Open Studio,R,Big data,Deep learning,"Design and implementation of dashboards to analyse the RUN MEDIANET SERVICE activity:
> Dashboard with plots, charts, filters about the project, tickets and their managers.
> Follow-up of the status of a task(Ticket) and its deadlines.
> Team performance monitoring and the advancement of the sprint.
> Advancement of the sprint.
> Generation of business production plans.
> Identification of project monitoring indicators (PPIs).",Business Intelligence Engineer,unckown,unckown,unckown,unckown,unckown
3,Business Intelligence Trainee,"Extract, Transform, Load (ETL)",Leadership,Engineering,Project management,RStudio,.NET Core,"Skills: Extract, Transform, Load (ETL) · Microsoft Power BI",Business Intelligence Specialist Computer Engineer ,Student,Skills: Engineering,unckown,unckown,unckown
4,Internship in engineering,Machine learning algorithms,PostgreSQL,Python (programming language),Project management,Java,.NET framework,unckown,Business Intelligence Student,Trainee,unckown,unckown,unckown,unckown
5,Development of a partner portal,E-commerce,Digital marketing,Decision-making informatics,Teamwork,Project management,Customer Relationship Management (CRM),"CRM
Dynamic 365
Power BI",Business Intelligence engineering student at ESPRIT ,Web developer,unckown,unckown,unckown,unckown
6,unckown,unckown,unckown,unckown,unckown,unckown,unckown,unckown,Business intelligence student,unckown,unckown,unckown,unckown,unckown
7,unckown,Microsoft Dynamics CRM,Python (programming language),Talend,Microsoft Power BI,Microsoft SQL Server,unckown,unckown,Business Intelligence engineer,unckown,unckown,unckown,unckown,unckown
8,Data Analyst,Power BI,Talend,Python,"Extract, transform, load (ETL)",Data analysis,SQL Server Integration Services (SSIS),unckown,Student Business Intelligence Engineer - ESPRIT,Data Analyst,unckown,unckown,unckown,unckown
9,Business Intelligence Developer,Microsoft Power BI,Python (programming language),R (programming language),Spring Boot,.NET framework,Project management,"Development of a BI solution to help detect fraud in health insurance using power bi for reporting and data analysis.
this solution based on 3 steps:
1/Data prepertion: data clearing with Python and R
2/Elaborate the modelling phase
3/Creating a predictive model",Business intelligence engineering student at ESPRIT,Business Intelligence Developer,Creation of a BI platform for production monitoring,unckown,unckown,unckown
10,Teacher trainer ,unckown,unckown,unckown,unckown,unckown,unckown,unckown,Business Intelligence Engineer/Teacher Training at ESPRIT,unckown,unckown,unckown,unckown,unckown
11,unckown,R (Programming Language),HTML,Business Intelligence (BI),.NET Framework,Spring Boot,SQL Server Integration Services (SSIS),unckown,Business Intelligence Engineering Student,unckown,unckown,unckown,unckown,unckown
